sample_id;score;size_user;size_edges;size_friends;friends_alone;friends_median;detection_algo;detection_algo_time;global_homophily;clusters_size;clusters_homophily;clusters_modularity
edges_trivial_1;trivial;1899;789891;1844;0;2.0;louvain;44;0.11589567856291944;746,643,508,2;0.2,0.2,0.1,0.0;0.0635722920395,0.0635722920395,0.0635722920395,0.0635722920395
edges_same-rating-2_1;same-rating-2;1914;824667;1852;0;2.0;louvain;45;0.29434918780247654;756,653,501,2,2;0.2,0.2,0.1,0.0,1.0;0.0632249950186,0.0632249950186,0.0632249950186,0.0632249950186,0.0632249950186
edges_common_1;common;1914;824667;1852;0;2.0;louvain;46;0.29300289558792186;733,681,496,2,2;0.2,0.2,0.1,0.0,1.0;0.0628152324561,0.0628152324561,0.0628152324561,0.0628152324561,0.0628152324561
edges_trivial_user_book;trivial;2371;1172318;2786;0;3.0;louvain;93;0.16119364339581793;980,802,589;0.2,0.2,0.1;0.062807086565,0.062807086565,0.062807086565
edges_trivial_user_book;trivial;2371;1172318;2786;0;3.0;igraph-multilevel;5;0.1647731630005361;789,838,744;0.2,0.2,0.1;0.0634504820833,0.0634504820833,0.0634504820833
edges_trivial_user_book;trivial;2371;1172318;2786;0;3.0;igraph-label-propag;0;0.35048502741459298;2371;0.4;0.0
edges_same-rating-2_user_book;same-rating-2;2384;1224736;2856;0;2.0;louvain;86;0.15485510189635951;958,822,604;0.2,0.2,0.1;0.0623935699085,0.0623935699085,0.0623935699085
edges_same-rating-2_user_book;same-rating-2;2384;1224736;2856;0;2.0;igraph-multilevel;7;0.15942197049896137;811,753,820;0.2,0.1,0.1;0.0630666563864,0.0630666563864,0.0630666563864
edges_same-rating-2_user_book;same-rating-2;2384;1224736;2856;0;2.0;igraph-label-propag;0;0.35444630872483224;2384;0.4;0.0
edges_common_user_book;common;2384;1224736;2856;0;2.0;louvain;88;0.1605001376723772;825,815,744;0.1,0.2,0.1;0.0630041764036,0.0630041764036,0.0630041764036
edges_common_user_book;common;2384;1224736;2856;0;2.0;igraph-multilevel;7;0.15942197049896137;811,753,820;0.2,0.1,0.1;0.0630666563864,0.0630666563864,0.0630666563864
